,Date,Value
0,1/22/20,0
1,1/23/20,0
2,1/24/20,0
3,1/25/20,0
4,1/26/20,0
5,1/27/20,0
6,1/28/20,0
7,1/29/20,0
8,1/30/20,1
9,1/31/20,1
10,2/1/20,1
11,2/2/20,2
12,2/3/20,3
13,2/4/20,3
14,2/5/20,3
15,2/6/20,3
16,2/7/20,3
17,2/8/20,3
18,2/9/20,3
19,2/10/20,3
20,2/11/20,3
21,2/12/20,3
22,2/13/20,3
23,2/14/20,3
24,2/15/20,3
25,2/16/20,3
26,2/17/20,3
27,2/18/20,3
28,2/19/20,3
29,2/20/20,3
30,2/21/20,3
31,2/22/20,3
32,2/23/20,3
33,2/24/20,3
34,2/25/20,3
35,2/26/20,3
36,2/27/20,3
37,2/28/20,3
38,2/29/20,3
39,3/1/20,3
40,3/2/20,5
41,3/3/20,5
42,3/4/20,28
43,3/5/20,30
44,3/6/20,31
45,3/7/20,34
46,3/8/20,39
47,3/9/20,43
48,3/10/20,56
49,3/11/20,62
50,3/12/20,73
51,3/13/20,82
52,3/14/20,102
53,3/15/20,113
54,3/16/20,119
55,3/17/20,142
56,3/18/20,156
57,3/19/20,194
58,3/20/20,244
59,3/21/20,330
60,3/22/20,396
61,3/23/20,499
62,3/24/20,536
63,3/25/20,657
64,3/26/20,727
65,3/27/20,887
66,3/28/20,987
67,3/29/20,1024
68,3/30/20,1251
69,3/31/20,1397
70,4/1/20,1998
71,4/2/20,2543
72,4/3/20,2567
73,4/4/20,3082
74,4/5/20,3588
75,4/6/20,4778
76,4/7/20,5311
77,4/8/20,5916
78,4/9/20,6725
79,4/10/20,7598
80,4/11/20,8446
81,4/12/20,9205
82,4/13/20,10453
83,4/14/20,11487
84,4/15/20,12322
85,4/16/20,13430
86,4/17/20,14352
87,4/18/20,15722
88,4/19/20,17615
89,4/20/20,18539
90,4/21/20,20080
91,4/22/20,21370
92,4/23/20,23077
93,4/24/20,24530
94,4/25/20,26283
95,4/26/20,27890
96,4/27/20,29451
97,4/28/20,31324
98,4/29/20,33062
99,4/30/20,34863
100,5/1/20,37257
101,5/2/20,39699
102,5/3/20,42505
103,5/4/20,46437
104,5/5/20,49400
105,5/6/20,52987
106,5/7/20,56351
107,5/8/20,59695
108,5/9/20,62808
109,5/10/20,67161
110,5/11/20,70768
111,5/12/20,74292
112,5/13/20,78055
113,5/14/20,81997
114,5/15/20,85784
115,5/16/20,90648
116,5/17/20,95698
117,5/18/20,100328
118,5/19/20,106475
119,5/20/20,112028
120,5/21/20,118226
121,5/22/20,124794
122,5/23/20,131423
123,5/24/20,138536
124,5/25/20,144950
125,5/26/20,150793
126,5/27/20,158086
127,5/28/20,165386
128,5/29/20,173491
129,5/30/20,181827
130,5/31/20,190609
131,6/1/20,198370
132,6/2/20,207191
133,6/3/20,216824
134,6/4/20,226713
135,6/5/20,236184
136,6/6/20,246622
137,6/7/20,257486
138,6/8/20,265928
139,6/9/20,276146
140,6/10/20,286605
141,6/11/20,297535
142,6/12/20,308993
143,6/13/20,320922
144,6/14/20,332424
145,6/15/20,343091
146,6/16/20,354065
147,6/17/20,366946
148,6/18/20,380532
149,6/19/20,395048
150,6/20/20,410451
151,6/21/20,425282
152,6/22/20,440215
153,6/23/20,456183
154,6/24/20,473105
155,6/25/20,490401
156,6/26/20,508953
157,6/27/20,528859
158,6/28/20,548318
159,6/29/20,566840
160,6/30/20,585481
161,7/1/20,604641
162,7/2/20,625544
163,7/3/20,648315
164,7/4/20,673165
165,7/5/20,697413
166,7/6/20,719664
167,7/7/20,742417
168,7/8/20,767296
169,7/9/20,793802
170,7/10/20,820916
171,7/11/20,849522
172,7/12/20,878254
173,7/13/20,906752
174,7/14/20,936181
175,7/15/20,968857
176,7/16/20,1003832
177,7/17/20,1039084
178,7/18/20,1077781
179,7/19/20,1118206
180,7/20/20,1155338
181,7/21/20,1193078
182,7/22/20,1238798
183,7/23/20,1288108
184,7/24/20,1337024
185,7/25/20,1385635
186,7/26/20,1435616
187,7/27/20,1480073
188,7/28/20,1531669
189,7/29/20,1581963
190,7/30/20,1634746
191,7/31/20,1695988
192,8/1/20,1750723
193,8/2/20,1803695
194,8/3/20,1855745
195,8/4/20,1908254
196,8/5/20,1964536
197,8/6/20,2027074
198,8/7/20,2088611
199,8/8/20,2153010
200,8/9/20,2215074
201,8/10/20,2268675
202,8/11/20,2329638
203,8/12/20,2396637
204,8/13/20,2461190
205,8/14/20,2525922
206,8/15/20,2589952
207,8/16/20,2647663
208,8/17/20,2702681
209,8/18/20,2767253
210,8/19/20,2836925
211,8/20/20,2905825
212,8/21/20,2975701
213,8/22/20,3044940
214,8/23/20,3106348
215,8/24/20,3167323
216,8/25/20,3224547
217,8/26/20,3310234
218,8/27/20,3387500
219,8/28/20,3463972
220,8/29/20,3542733
221,8/30/20,3621245
222,8/31/20,3691166
223,9/1/20,3769523
224,9/2/20,3853406
225,9/3/20,3936747
226,9/4/20,4023179
227,9/5/20,4113811
228,9/6/20,4204613
229,9/7/20,4280422
230,9/8/20,4370128
231,9/9/20,4465863
232,9/10/20,4562414
233,9/11/20,4659984
234,9/12/20,4754356
235,9/13/20,4846427
236,9/14/20,4930236
237,9/15/20,5020359
238,9/16/20,5118253
239,9/17/20,5214677
240,9/18/20,5308014
241,9/19/20,5400619
242,9/20/20,5487580
243,9/21/20,5562663
244,9/22/20,5646010
245,9/23/20,5732518
246,9/24/20,5818570
247,9/25/20,5903932
248,9/26/20,5992532
249,9/27/20,6074702
250,9/28/20,6145291
251,9/29/20,6225763
252,9/30/20,6312584
253,10/1/20,6394068
254,10/2/20,6473544
255,10/3/20,6549373
256,10/4/20,6623815
257,10/5/20,6685082
258,10/6/20,6757131
259,10/7/20,6835655
260,10/8/20,6906151
261,10/9/20,6979423
262,10/10/20,7053806
263,10/11/20,7120538
264,10/12/20,7175880
265,10/13/20,7239389
266,10/14/20,7307097
267,10/15/20,7370468
268,10/16/20,7432680
269,10/17/20,7494551
270,10/18/20,7550273
271,10/19/20,7597063
272,10/20/20,7651107
273,10/21/20,7706946
274,10/22/20,7761312
